Station Name,Entries and exits - Full price tickets, Entries and exits - Reduced price tickets,Entries and exits - Season tickets,1920 Entries and exits,NLC,TLC,Region
Abbey Wood,"995,900","1,343,418","1,485,888","3,825,206",5131,ABW,London
Aber,"105,496","8,672","114,312","228,480",3813,ABE,Wales - Cymru
Abercynon,"166,046","6,230","110,610","282,886",3801,ACY,Wales - Cymru
Aberdare,"275,864","19,962","208,796","504,622",3982,ABA,Wales - Cymru
Aberdeen,"765,686","1,449,532","281,890","2,497,108",8976,ABD,Scotland
Aberdour,"37,726","60,934","27,680","126,340",9090,AUR,Scotland
Aberdovey,"25,152","11,366",42,"36,560",4435,AVY,Wales - Cymru
Abererch,"1,548",600,,"2,148",4440,ABH,Wales - Cymru
Abergavenny,"238,882","125,308","51,060","415,250",3602,AGV,Wales - Cymru
Aberystwyth,"122,072","155,070","1,738","278,880",4303,AYW,Wales - Cymru
Accrington,"124,126","261,014","80,618","465,758",2552,ACR,North West
Achanalt,290,36,,326,8600,AAT,Scotland
Achnasheen,"1,704","1,530",,"3,234",8601,ACN,Scotland
Achnashellach,550,286,,836,8602,ACH,Scotland
Acklington,176,70,,246,7662,ACK,North East
Acle,"13,062","22,108","6,448","41,618",7286,ACL,East
Acocks Green,"133,952","179,102","238,176","551,230",4529,ACG,West Midlands
Acton Central,"576,628","772,684","404,494","1,753,806",1404,ACC,London
Acton Main Line,"117,804","141,894","91,232","350,930",3000,AML,London
Adderley Park,"42,234","28,872","43,094","114,200",1036,ADD,West Midlands
Addiewell,"5,444","9,432","2,366","17,242",9310,ADW,Scotland
Addlestone,"132,260","110,916","148,458","391,634",5550,ASN,South East
Adisham,"8,312","10,326","8,986","27,624",5160,ADM,South East
Adlington (Cheshire),"13,116","10,586","3,576","27,278",2939,ADC,North West
Adlington (Lancashire),"35,474","54,246","44,460","134,180",2641,ADL,North West
Adwick,"77,394","56,626","49,594","183,614",8353,AWK,Yorkshire And The Humber
Aigburth,"196,782","406,294","371,124","974,200",2255,AIG,North West
Ainsdale,"199,730","660,702","267,418","1,127,850",2350,ANS,North West
Aintree,"198,418","567,434","529,496","1,295,348",2125,AIN,North West
Airbles,"33,834","61,212","23,810","118,856",9695,AIR,Scotland
Airdrie,"239,550","437,536","332,018","1,009,104",9759,ADR,Scotland
Albany Park,"309,384","234,542","428,678","972,604",5132,AYP,London
Albrighton,"31,938","36,050","31,328","99,316",4614,ALB,West Midlands
Alderley Edge,"126,080","91,724","70,300","288,104",2760,ALD,North West
Aldermaston,"20,260","34,540","27,958","82,758",3145,AMT,South East
Aldershot,"390,120","513,886","379,824","1,283,830",5623,AHT,South East
Aldrington,"58,152","97,840","68,806","224,798",5280,AGT,South East
Alexandra Palace,"545,732","723,922","466,322","1,735,976",6025,AAP,London
Alexandra Parade,"84,532","229,908","78,160","392,600",9905,AXP,Scotland
Alexandria,"56,824","117,032","59,422","233,278",9861,ALX,Scotland
Alfreton,"104,794","172,126","34,110","311,030",1805,ALF,East Midlands
Alloa,"107,184","212,550","73,626","393,360",9883,ALO,Scotland
Alness,"20,556","4,990","1,504","27,050",8605,ASS,Scotland
Alnmouth,"59,214","255,560","30,088","344,862",7787,ALM,North East
Alsager,"73,832","33,094","21,328","128,254",1223,ASG,North West
Althorpe,"3,482","4,488","1,782","9,752",6532,ALP,Yorkshire And The Humber
Altnabreac,172,60,,232,8606,ABC,Scotland
Alton,"168,702","239,024","271,598","679,324",5544,AON,South East
Altrincham,"116,568","139,062","117,052","372,682",2806,ALT,North West
Alvechurch,"69,104","38,598","72,262","179,964",1198,ALV,West Midlands
Ambergate,"18,562","19,656","3,334","41,552",1678,AMB,East Midlands
Amberley,"11,998","32,168","15,640","59,806",5250,AMY,South East
Amersham,"918,280","991,596","157,336","2,067,212",506,AMR,South East
Ammanford,"11,654","6,062",300,"18,016",4236,AMF,Wales - Cymru
Ancaster,"3,146","1,052",808,"5,006",6358,ANC,East Midlands
Anderston,"154,476","180,694","379,904","715,074",9965,AND,Scotland
Andover,"237,980","525,564","389,032","1,152,576",5510,ADV,South East
Anerley,"315,234","452,516","265,514","1,033,264",5397,ANZ,London
Angmering,"156,864","404,436","298,040","859,340",5267,ANG,South East
Annan,"9,230","122,380","1,660","133,270",9451,ANN,Scotland
Anniesland,"247,590","590,242","306,736","1,144,568",9972,ANL,Scotland
Appleby,"9,810","48,066","2,434","60,310",2052,APP,North West
Appleford,"1,868","3,160","2,204","7,232",3109,APF,South East
Appley Bridge,"45,334","113,816","67,632","226,782",2396,APB,North West
Apsley,"211,434","191,956","255,344","658,734",1430,APS,East
Arbroath,"134,844","183,568","59,170","377,582",9079,ARB,Scotland
Ardgay,"5,278",954,176,"6,408",8613,ARD,Scotland
Ardlui,"2,784","1,198",,"3,982",9962,AUI,Scotland
Ardrossan Harbour,"64,910","57,782","1,212","123,904",9453,ADS,Scotland
Ardrossan South Beach,"47,644","111,624","56,656","215,924",9569,ASB,Scotland
Ardrossan Town,"5,010","11,740","5,614","22,364",9455,ADN,Scotland
Ardwick,"1,124",254,142,"1,520",2960,ADK,North West
Argyle Street,"255,122","783,398","273,300","1,311,820",9961,AGS,Scotland
Arisaig,"3,530","2,412",,"5,942",8821,ARG,Scotland
Arlesey,"190,230","232,970","273,508","696,708",6171,ARL,East
Armathwaite,"1,394","7,740",376,"9,510",2054,AWT,North West
Arnside,"19,718","89,682","5,938","115,338",1963,ARN,North West
Arram,132,676,20,828,8045,ARR,Yorkshire And The Humber
Arundel,"46,472","164,522","105,824","316,818",5251,ARU,South East
Ascott-Under-Wychwood,"1,482",280,"1,274","3,036",3003,AUW,South East
Ash,"66,630","87,388","91,960","245,978",5641,ASH,South East
Ash Vale,"108,352","122,062","190,608","421,022",5547,AHV,South East
Ashburys,"58,562","32,578","37,818","128,958",2941,ABY,North West
Ashfield,"13,088","44,364","8,932","66,384",9953,ASF,Scotland
Ashford International,"672,554","1,640,876","1,707,136","4,020,566",5004,AFK,South East
Ashley,"3,432","3,508","1,284","8,224",2850,ASY,North West
Ashtead,"350,978","358,648","563,364","1,272,990",5347,AHD,South East
Ashton-Under-Lyne,"113,894","143,124","105,228","362,246",2790,AHN,North West
Ashurst New Forest,"29,788","51,954","52,500","134,242",5906,ANF,South East
Askam,"17,256","36,880","21,674","75,810",1953,ASK,North West
Aslockton,"12,010","10,798","10,630","33,438",6233,ALK,East Midlands
Aspatria,"9,292","14,906","4,898","29,096",2095,ASP,North West
Aspley Guise,"2,222","3,768","3,418","9,408",1380,APG,East
Aston,"173,382","192,478","317,232","683,092",1004,AST,West Midlands
Atherstone,"52,696","68,602","29,876","151,174",1074,ATH,West Midlands
Atherton,"84,312","106,076","139,280","329,668",2584,ATN,North West
Attadale,948,280,,"1,228",8608,ATT,Scotland
Attenborough,"69,800","12,912","24,170","106,882",1624,ATB,East Midlands
Attleborough,"54,682","68,512","35,270","158,464",7367,ATL,East
Auchinleck,"24,628","36,652","10,800","72,080",9457,AUK,Scotland
Audley End,"204,146","345,424","457,160","1,006,730",7017,AUD,East
Aughton Park,"42,970","93,352","82,174","218,496",2215,AUG,North West
Aviemore,"57,362","72,734","2,522","132,618",8610,AVM,Scotland
Avoncliff,"11,380","10,454","1,614","23,448",3265,AVF,South West
Avonmouth,"91,788","8,140","27,214","127,142",3200,AVN,South West
Axminster,"37,434","252,722","87,532","377,688",5714,AXM,South West
Aylesbury,"346,168","398,882","462,714","1,207,764",1492,AYS,South East
Aylesbury Vale Parkway,"45,968","44,340","116,526","206,834",1090,AVP,South East
Aylesford,"53,916","46,936","65,166","166,018",5162,AYL,South East
Aylesham,"29,434","41,378","50,836","121,648",5197,AYH,South East
Ayr,"405,612","785,274","205,082","1,395,968",9463,AYR,Scotland
Bache,"124,864","307,252","34,392","466,508",2187,BAC,North West
Baglan,"15,572","1,242","4,956","21,770",4186,BAJ,Wales - Cymru
Bagshot,"48,338","42,442","40,330","131,110",5681,BAG,South East
Baildon,"97,020","53,036","144,324","294,380",8552,BLD,Yorkshire And The Humber
Baillieston,"46,012","70,714","58,734","175,460",9763,BIO,Scotland
Balcombe,"32,744","64,616","82,536","179,896",5492,BAB,South East
Baldock,"198,476","241,134","214,710","654,320",6084,BDK,East
Balham,"1,912,332","2,642,648","3,269,010","7,823,990",5399,BAL,London
Balloch,"115,136","286,252","86,346","487,734",9862,BHC,Scotland
Balmossie,834,128,562,"1,524",9013,BSI,Scotland
Bamber Bridge,"25,564","47,334","14,368","87,266",2561,BMB,North West
Bamford,"17,214","25,346","1,186","43,746",2820,BAM,East Midlands
Banavie,"2,704","3,556",,"6,260",8839,BNV,Scotland
Banbury,"730,730","1,491,720","647,766","2,870,216",4502,BAN,South East
Bangor (Gwynedd),"178,468","423,476","22,982","624,926",2471,BNG,Wales - Cymru
Bank Hall,"35,746","105,364","176,428","317,538",2238,BAH,North West
Banstead,"54,288","54,758","42,368","151,414",5348,BAD,South East
Barassie,"38,480","84,866","45,102","168,448",9466,BSS,Scotland
Bardon Mill,"2,090","6,914","1,302","10,306",7563,BLL,North East
Bare Lane,"27,718","56,200","53,050","136,968",2690,BAR,North West
Bargeddie,"29,086","47,964","27,838","104,888",9764,BGI,Scotland
Bargoed,"117,612","14,272","66,430","198,314",4011,BGD,Wales - Cymru
Barking,"4,133,026","5,741,318","3,957,144","13,831,488",7492,BKG,London
Barming,"47,544","51,642","73,404","172,590",5133,BMG,South East
Barmouth,"101,322","46,312","48,010","195,644",4445,BRM,Wales - Cymru
Barnehurst,"398,680","427,754","727,152","1,553,586",5089,BNH,London
Barnes,"773,620","930,654","907,562","2,611,836",5551,BNS,London
Barnes Bridge,"322,280","372,584","324,350","1,019,214",5580,BNI,London
Barnetby,"13,190","45,720","7,450","66,360",6406,BTB,Yorkshire And The Humber
Barnham,"177,992","344,352","449,708","972,052",5252,BAA,South East
Barnhill,"18,126","38,742","25,368","82,236",9973,BNL,Scotland
Barnsley,"500,944","505,070","331,674","1,337,688",6774,BNY,Yorkshire And The Humber
Barnstaple,"16,220","335,604","72,998","424,822",5725,BNP,South West
Barnt Green,"115,862","82,054","117,502","315,418",1096,BTG,West Midlands
Barrhead,"170,474","257,828","332,210","760,512",9674,BRR,Scotland
Barrhill,"2,666","4,478",,"7,144",9467,BRL,Scotland
Barrow Haven,"1,386",884,40,"2,310",6212,BAV,Yorkshire And The Humber
Barrow-In-Furness,"145,684","436,808","104,076","686,568",1954,BIF,North West
Barrow-Upon-Soar,"34,620","29,246","36,580","100,446",1903,BWS,East Midlands
Barry,"327,090","40,100","151,174","518,364",3805,BRY,Wales - Cymru
Barry Docks,"165,336","13,636","59,992","238,964",3806,BYD,Wales - Cymru
Barry Island,"276,556","48,104","437,382","762,042",3807,BYI,Wales - Cymru
Barry Links,234,24,380,638,9020,BYL,Scotland
Barton-On-Humber,"14,982","20,640","1,024","36,646",6207,BAU,Yorkshire And The Humber
Basildon,"1,131,924","729,404","1,251,086","3,112,414",7494,BSO,East
Basingstoke,"1,351,664","2,382,516","1,968,146","5,702,326",5520,BSK,South East
Bath Spa,"1,346,984","4,122,066","963,762","6,432,812",3271,BTH,South West
Bathgate,"346,300","501,502","361,980","1,209,782",9311,BHG,Scotland
Batley,"135,332","100,760","105,708","341,800",8484,BTL,Yorkshire And The Humber
Battersby,212,"1,548",,"1,760",7909,BTT,Yorkshire And The Humber
Battersea Park,"552,394","728,112","922,636","2,203,142",5420,BAK,London
Battle,"82,518","248,622","196,070","527,210",5215,BAT,South East
Battlesbridge,"6,578","5,304","7,966","19,848",6870,BLB,East
Bayford,"27,338","23,486","15,234","66,058",6006,BAY,East
Beaconsfield,"406,378","434,178","668,536","1,509,092",3047,BCF,South East
Bearley,538,548,,"1,086",2420,BER,West Midlands
Bearsden,"141,460","254,034","154,086","549,580",9966,BRN,Scotland
Bearsted,"64,214","132,226","183,826","380,266",5091,BSD,South East
Beasdale,226,98,,324,8822,BSL,Scotland
Beaulieu Road,"3,170","5,990","2,880","12,040",5890,BEU,South East
Beauly,"29,472","15,504","1,534","46,510",8877,BEL,Scotland
Bebington,"359,072","436,904","207,006","1,002,982",2188,BEB,North West
Beccles,"27,444","70,594","12,114","110,152",7258,BCC,East
Beckenham Hill,"120,382","145,744","126,542","392,668",5076,BEC,London
Beckenham Junction,"698,150","839,396","1,013,098","2,550,644",5046,BKJ,London
Bedhampton,"39,736","40,588","35,150","115,474",5538,BDH,South East
Bedminster,"50,880","35,450","17,720","104,050",3245,BMT,South West
Bedworth,"57,470","21,784","22,858","102,112",1165,BEH,West Midlands
Bedwyn,"17,328","79,244","33,314","129,886",3070,BDW,South West
Beeston,"286,504","203,048","84,752","574,304",1625,BEE,East Midlands
Bekesbourne,"9,302","9,652","5,520","24,474",5198,BKS,South East
Belle Vue,"3,080","3,668","1,876","8,624",2785,BLV,North West
Bellgrove,"173,382","407,232","145,882","726,496",9895,BLG,Scotland
Bellingham,"212,396","235,528","380,340","828,264",5062,BGM,London
Bellshill,"187,780","292,922","303,200","783,902",9714,BLH,Scotland
Belmont,"51,050","46,014","83,402","180,466",5350,BLM,London
Belper,"84,754","117,546","33,780","236,080",1679,BLP,East Midlands
Beltring,"4,644","4,138","4,478","13,260",5227,BEG,South East
Belvedere,"340,556","391,672","465,132","1,197,360",5092,BVD,London
Bempton,"2,274","13,044",924,"16,242",8047,BEM,Yorkshire And The Humber
Ben Rhydding,"96,340","71,210","58,980","226,530",8564,BEY,Yorkshire And The Humber
Benfleet,"1,214,974","751,230","1,568,010","3,534,214",7439,BEF,East
Bentham,"5,608","23,398",926,"29,932",2676,BEN,Yorkshire And The Humber
Bere Alston,"4,056","24,480","10,926","39,462",3549,BAS,South West
Bere Ferrers,"1,012","9,644","4,370","15,026",3550,BFE,South West
Berkhamsted,"519,010","602,864","543,042","1,664,916",1390,BKM,East
Berkswell,"58,784","96,772","178,712","334,268",1045,BKW,West Midlands
Berney Arms,28,12,2,42,7330,BYA,East
Berry Brow,"7,802","9,864","6,878","24,544",8431,BBW,Yorkshire And The Humber
Berrylands,"124,664","138,862","109,988","373,514",5581,BRS,London
Berwick (Sussex),"13,388","36,440","29,614","79,442",5323,BRK,South East
Berwick-Upon-Tweed,"2,032","576,024","24,428","602,484",7791,BWK,North East
Bescar Lane,"1,080","1,034",250,"2,364",2351,BES,North West
Bescot Stadium,"26,932","59,368","86,132","172,432",1003,BSC,West Midlands
Betchworth,"4,208","4,498","6,428","15,134",5472,BTO,South East
Bethnal Green,"354,022","533,578","304,252","1,191,852",6961,BET,London
Betws-y-Coed,"11,400","11,664",62,"23,126",2449,BYC,Wales - Cymru
Beverley,"104,982","398,982","178,532","682,496",8048,BEV,Yorkshire And The Humber
Bexhill,"242,234","553,352","706,796","1,502,382",5211,BEX,South East
Bexley,"417,024","452,306","441,106","1,310,436",5093,BXY,London
Bexleyheath,"827,760","817,126","1,024,494","2,669,380",5094,BXH,London
Bicester North,"150,000","477,036","211,568","838,604",3048,BCS,South East
Bickley,"292,590","294,234","284,422","871,246",5063,BKL,London
Bidston,"114,218","153,520","130,940","398,678",2136,BID,North West
Biggleswade,"266,894","350,120","416,608","1,033,622",6170,BIW,East
Bilbrook,"36,018","29,972","57,800","123,790",4618,BBK,West Midlands
Billericay,"713,778","487,644","1,626,682","2,828,104",6871,BIC,East
Billingham,"24,836","52,666","14,002","91,504",7910,BIL,North East
Billingshurst,"93,682","185,868","208,680","488,230",5464,BIG,South East
Bingham,"27,196","35,642","16,572","79,410",6235,BIN,East Midlands
Bingley,"384,056","383,866","405,420","1,173,342",8553,BIY,Yorkshire And The Humber
Birchgrove,"38,134","1,714","14,680","54,528",3907,BCG,Wales - Cymru
Birchington-On-Sea,"36,432","95,192","274,106","405,730",5163,BCH,South East
Birchwood,"278,142","173,384","148,094","599,620",2304,BWD,North West
Birkbeck,"55,306","42,540","49,696","147,542",5401,BIK,London
Birkdale,"161,560","864,516","335,538","1,361,614",2352,BDL,North West
Birkenhead Central,"254,490","394,580","273,700","922,770",2217,BKC,North West
Birkenhead Hamilton Square,"712,426","586,044","523,874","1,822,344",2219,BKQ,North West
Birkenhead North,"525,408","289,850","258,910","1,074,168",2145,BKN,North West
Birkenhead Park,"294,634","284,396","228,904","807,934",2220,BKP,North West
Birmingham International,"1,886,232","3,016,496","1,616,884","6,519,612",1215,BHI,West Midlands
Birmingham Moor Street,"1,708,326","2,647,674","2,917,548","7,273,548",4515,BMO,West Midlands
Birmingham New Street,"9,374,080","18,189,520","18,946,926","46,510,526",1127,BHM,West Midlands
Birmingham Snow Hill,"1,119,058","1,669,882","2,831,036","5,619,976",1006,BSW,West Midlands
Bishop Auckland,"30,898","106,562","20,592","158,052",7835,BIA,North East
Bishopbriggs,"139,686","478,436","153,964","772,086",9940,BBG,Scotland
Bishops Stortford,"810,780","955,850","1,307,720","3,074,350",6800,BIS,East
Bitterne,"28,040","29,954","17,640","75,634",5945,BTE,South East
